Tm,Tgt_20,Rec_20,Ctch%_20,Yds_20,TD_20,%Tgt_20,Tgt_10,Rec_10,Ctch%_10,Yds_10,TD_10,%Tgt_10,Highlights,Player,Year
NO,13,12,92.31%,85,4,18.3%,2,2,100.00%,13,1,6.7%,All Alvin Kamara red zone receiving plays,Alvin Kamara,2017
CAR,13,11,84.62%,61,4,23.6%,8,6,75.00%,25,4,30.8%,All Christian McCaffrey red zone receiving plays,Christian McCaffrey,2017
NE,12,10,83.33%,54,2,14.0%,4,4,100.00%,10,2,10.8%,All Danny Amendola red zone receiving plays,Danny Amendola,2017
NE,12,8,66.67%,42,4,14.0%,6,3,50.00%,14,3,16.2%,All Brandin Cooks red zone receiving plays,Brandin Cooks,2017
MIN,12,10,83.33%,86,6,20.7%,6,4,66.67%,15,3,20.7%,All Stefon Diggs red zone receiving plays,Stefon Diggs,2017
LAC,12,5,41.67%,31,3,17.9%,9,4,44.44%,20,3,20.5%,All Hunter Henry red zone receiving plays,Hunter Henry,2017
NE,12,6,50.00%,38,4,14.0%,8,4,50.00%,19,3,21.6%,All Chris Hogan red zone receiving plays,Chris Hogan,2017
NO,12,10,83.33%,22,0,16.9%,3,2,66.67%,5,0,10.0%,All Mark Ingram red zone receiving plays,Mark Ingram,2017
PIT,12,5,41.67%,30,3,14.6%,8,3,37.50%,7,3,19.0%,All Jesse James red zone receiving plays,Jesse James,2017
CIN,12,7,58.33%,28,7,24.0%,7,6,85.71%,12,6,28.0%,All Tyler Kroft red zone receiving plays,Tyler Kroft,2017
MIA,12,5,41.67%,27,1,18.2%,6,1,16.67%,3,1,17.1%,All DeVante Parker red zone receiving plays,DeVante Parker,2017
ATL,12,7,58.33%,40,5,17.9%,7,6,85.71%,37,5,20.0%,All Mohamed Sanu red zone receiving plays,Mohamed Sanu,2017
DAL,12,7,58.33%,66,3,21.4%,3,2,66.67%,15,1,11.5%,All Jason Witten red zone receiving plays,Jason Witten,2017
BAL,11,6,54.55%,35,0,15.9%,4,0,0.00%,0,0,11.1%,All Nick Boyle red zone receiving plays,Nick Boyle,2017
ARI,11,6,54.55%,38,1,15.9%,3,2,66.67%,9,1,12.5%,All Jaron Brown red zone receiving plays,Jaron Brown,2017
BUF,11,5,45.45%,19,2,16.9%,6,2,33.33%,7,2,17.6%,All Charles Clay red zone receiving plays,Charles Clay,2017
TEN,11,8,72.73%,61,1,25.6%,5,3,60.00%,8,0,29.4%,All Eric Decker red zone receiving plays,Eric Decker,2017
DET,11,3,27.27%,16,2,15.7%,7,3,42.86%,16,2,21.9%,All Eric Ebron red zone receiving plays,Eric Ebron,2017
NYG,11,7,63.64%,64,6,21.2%,8,6,75.00%,46,5,30.8%,All Evan Engram red zone receiving plays,Evan Engram,2017
LAC,11,3,27.27%,20,3,16.4%,10,3,30.00%,20,3,22.7%,All Antonio Gates red zone receiving plays,Antonio Gates,2017
ARI,11,5,45.45%,34,2,15.9%,5,3,60.00%,9,0,20.8%,All Jermaine Gresham red zone receiving plays,Jermaine Gresham,2017
SF,11,9,81.82%,57,0,12.9%,2,1,50.00%,7,0,5.6%,All Carlos Hyde red zone receiving plays,Carlos Hyde,2017
BUF,11,3,27.27%,30,2,16.9%,5,1,20.00%,10,1,14.7%,All Zay Jones red zone receiving plays,Zay Jones,2017
GB,11,9,81.82%,34,5,17.2%,8,7,87.50%,26,5,26.7%,All Jordy Nelson red zone receiving plays,Jordy Nelson,2017
